token,count
AS HALIFAX,1
VANIA,1
FERY ROBINSONS HENRI,1
ACRE IN PITTSYLVANIA,1
ACES CHESTERFIELD,1
POLES IN BRUNSWICK,1
ACS BOUTETOURT,1
ACS GLOSTER,1
ACS PITTSYLVNIA,1
ACS MECKLINGBURG,1
ROODS IN AMELIA,1
ACS MACLENBURG,1
ACES PITTSYLVANIA,1
N TRINITY PAR LOUISA,1
RUTHERFORD OF BERKLEY,1
RFORD ESQ OF BERKLEY,1
CHARLES GALLOWAY,1
CHEATOR FOR GOOCHLAND,1
ACS IN BEDFORD,1
NOVER TOWN IN HANOVER,1
OF HANOVER IN HANOVER,1
OF HANOVER  HANOVER,1
SURVEYER OF BOTETOURT,1
IN HENRY ON THIS,1
ACRES IN PR WILLIAM,1
LOTTS IN PR WILLIAM,1
TOR FOR ISLE OF WIGHT,1
STER AND CHESTERFIELD,1
ACRE IN ISLE OF WIGHT,1
KING OF IS OF WIGHT,1
THE LAND WAS IN SURRY,1
ACS BOTTETOURT,1
ACS GREEN BRIER,1
F RACKOON CR IN OHIO,1
ACS OHIO,1
AS ROCKBRIDGE,1
RUTHERFORD OF BERKELY,1
ACS THEN IN AUGUSTA,1
ACS IN THEN AUGUSTA,1
ROCKBRIDGE,1
MECKLENBURG,1
BUCKINGHAM,1
THERWOOD CR IN HENRY,1
INCLUSIVE IN LOUISA,1
IN GLOUSTER,1
AMHURST,1
THEN IN CHARLES,1
IFAX AND PITTSYLVANIA,1
IN BOTETOUT,1
AND IN PITTSYLVANIA,1
NE ACRES IN DINWIDDIE,1
OR LESS IN CULPEPPER,1
FALOE RIV IN AMHERST,1
IN HALLIFAX,1
ROCKINGHAM,1
HENDERSON OF FAIRFAX,1
IN PRINCE WILLIAM,1
ACS IN CAROLINE,1
IN CAROLINE,1
ACS IN CHARLOTTE,1
BY SURVEY IN BEDFORD,1
IN PITTYSLYVANIA,1
IN PRINCE EDWARD,1
GEORGE HARSTON,1
F FAIRFAX IN CULPEPER,1
E OR LESS IN PR ANNE,1
LOTT IN SPOTSYLVANIA,1
E ASSEE OPF JOHN WIN,1
PIONEERS IN BOTETOURT,1
IN ALBLEMARLE,1
INI HENRY,1
ACS MONTGOMERY,1
EL BROWN IN LUNENBURG,1
IA FORMERLY LUNENBURG,1
LAND IN CHESTERFEILD,1
IN CHESTERFEILD,1
SURVEYED AS LUNENBURG,1
ARY READ OF CHARLOTTE,1
IN HALIFAX ON HI,1
ACS IN ROCKINGHAM,1
SEE TAYLOR OF FAIRFAX,1
IN GREENBRIRE,1
